"filename", "language", "XML", "JavaScript JSX", "JavaScript", "JSON", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\ProductToCheckOut.jsx", "JavaScript JSX", 0, 140, 0, 0, 0, 0, 1, 9, 150
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\Questions.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 0, 3, 55
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\feed\Feed.jsx", "JavaScript JSX", 0, 56, 0, 0, 0, 0, 0, 11, 67
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\footer\DesktopFooter.jsx", "JavaScript JSX", 0, 90, 0, 0, 0, 0, 0, 7, 97
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\footer\Footer.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 12, 5, 27
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\footer\MobileFooter.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\header\CatItem.jsx", "JavaScript JSX", 0, 61, 0, 0, 0, 0, 1, 9, 71
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\header\DesktopHeader.jsx", "JavaScript JSX", 0, 209, 0, 0, 0, 0, 0, 37, 246
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\header\Header.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\header\MobileHeader.jsx", "JavaScript JSX", 0, 202, 0, 0, 0, 0, 34, 36, 272
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\header\SearchBar.jsx", "JavaScript JSX", 0, 47, 0, 0, 0, 0, 0, 5, 52
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\header\components\Search.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 0, 0, 5, 40
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\home_content\HomeContent.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\product_card\AddToCartButton.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 0, 9, 49
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\product_card\ProductCard.jsx", "JavaScript JSX", 0, 47, 0, 0, 0, 0, 4, 6, 57
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\product_details\ProductDetails.jsx", "JavaScript JSX", 0, 259, 0, 0, 0, 0, 11, 26, 296
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\product_details\_product_details.scss", "SCSS", 0, 0, 0, 0, 280, 0, 20, 48, 348
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\support\Support.jsx", "JavaScript JSX", 0, 63, 0, 0, 0, 0, 0, 4, 67
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\tutorial\Tutorial.jsx", "JavaScript JSX", 0, 180, 0, 0, 0, 0, 0, 19, 199
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ui-kit\BackPage\BackPage.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ui-kit\BackPage\BackPage.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 5
